Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ModesTestSuite,Chrome 70.0.3538.67,,2018-10-30 01:12:20,2018-10-30 01:12:53,32.779s,PASSED
,,,,,,
Test Cases/RecordMode,Chrome 70.0.3538.67,,2018-10-30 01:12:20,2018-10-30 01:12:53,32.374s,PASSED
openBrowser,Chrome 70.0.3538.67,,2018-10-30 01:12:21,2018-10-30 01:12:31,10.334s,PASSED
navigateToUrl,Chrome 70.0.3538.67,,2018-10-30 01:12:31,2018-10-30 01:12:48,16.845s,PASSED
setText,Chrome 70.0.3538.67,,2018-10-30 01:12:48,2018-10-30 01:12:49,0.525s,PASSED
click,Chrome 70.0.3538.67,,2018-10-30 01:12:49,2018-10-30 01:12:49,0.256s,PASSED
setEncryptedText,Chrome 70.0.3538.67,,2018-10-30 01:12:49,2018-10-30 01:12:50,0.768s,PASSED
click,Chrome 70.0.3538.67,,2018-10-30 01:12:50,2018-10-30 01:12:50,0.175s,PASSED
closeBrowser,Chrome 70.0.3538.67,,2018-10-30 01:12:50,2018-10-30 01:12:51,0.692s,PASSED
